MotifRef,MotifSystemId,MotifID,CaseRef,Motif_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
RM/JO/10,JO,10,C/JO/2882,Pilgrimage,jhm,07/09/2001,jhm,07/09/2001
RM/JO/102,JO,102,C/EGD/935,Trinity,jhm,21/08/2002,jhm,21/08/2002
RM/JO/104,JO,104,C/EGD/1533,Three,jhm,27/08/2002,jhm,27/08/2002
RM/JO/105,JO,105,C/JO/3248,Three,jhm,28/08/2002,jhm,28/08/2002
RM/JO/106,JO,106,C/EGD/1558,Three,jhm,08/10/2002,jhm,08/10/2002
RM/JO/107,JO,107,C/EGD/745,Nine,jhm,11/10/2002,jhm,11/10/2002
RM/JO/109,JO,109,C/EGD/2158,Three,jhm,24/10/2002,jhm,24/10/2002
RM/JO/11,JO,11,C/EGD/2194,Prayer,jhm,12/09/2001,jhm,12/09/2001
RM/JO/110,JO,110,C/EGD/2168,Three,jhm,24/10/2002,jhm,24/10/2002
RM/JO/111,JO,111,C/EGD/217,Prayer,jhm,24/10/2002,jhm,24/10/2002
RM/JO/112,JO,112,C/EGD/2269,Three,jhm,24/10/2002,jhm,24/10/2002
RM/JO/41,JO,41,C/EGD/2453,Eschatology,jhm,23/10/2001,jhm,23/10/2001
RM/JO/42,JO,42,C/EGD/2453,Trinity,jhm,23/10/2001,jhm,23/10/2001
RM/JO/45,JO,45,C/EGD/162,Three,jhm,20/11/2001,jhm,20/11/2001
RM/JO/46,JO,46,C/EGD/1861,Three,jhm,20/11/2001,jhm,20/11/2001
RM/JO/47,JO,47,C/EGD/2231,Prayer,jhm,23/11/2001,jhm,23/11/2001
RM/JO/48,JO,48,C/EGD/2471,Prayer,jhm,23/11/2001,jhm,23/11/2001
RM/JO/49,JO,49,C/EGD/1309,Three,jhm,23/11/2001,jhm,23/11/2001
RM/JO/5,JO,5,C/EGD/1861,Cross,jhm,31/07/2001,jhm,31/07/2001
