RitualObjectRef,RitualObjectSystemId,RitualObjectID,CaseRef,RitualObject_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon,Lastupdatedby1,Lastupdatedon1
RO/JO/1,JO,1,C/JO/2632,Yarn,jhm,17/05/2001,jhm,13/11/2002,,
RO/JO/2,JO,2,C/JO/2632,Egg,jhm,17/05/2001,jhm,13/11/2002,,
RO/JO/3,JO,3,C/JO/2632,Meal,jhm,17/05/2001,jhm,13/11/2002,,
RO/JO/316,JO,316,C/EGD/2453,Water,jhm,24/10/2001,jhm,24/10/2001,,
RO/JO/317,JO,317,C/EGD/142,Elfshot,jhm,06/11/2001,jhm,28/02/2002,,
RO/JO/318,JO,318,C/EGD/45,Elfshot,jhm,06/11/2001,LEM,14/06/2002,,
RO/JO/319,JO,319,C/EGD/39,Elfshot,jhm,06/11/2001,jhm,06/11/2002,,
RO/JO/320,JO,320,C/EGD/46,Elfshot,jhm,06/11/2001,LEM,11/10/2002,,
RO/JO/323,JO,323,C/EGD/63,Elfshot,jhm,06/11/2001,LEM,07/11/2002,,
RO/JO/326,JO,326,C/EGD/385,Knife,jhm,21/11/2001,jhm,21/11/2001,,
RO/JO/327,JO,327,C/EGD/2231,Wayburn leaf,jhm,23/11/2001,jhm,23/11/2001,,
RO/JO/328,JO,328,C/EGD/2471,Axe,jhm,23/11/2001,jhm,13/11/2002,,
RO/JO/329,JO,329,C/EGD/1309,Tree,jhm,23/11/2001,jhm,23/11/2001,,
RO/JO/331,JO,331,C/EGD/29,Thread,jhm,26/11/2001,jhm,13/11/2002,,
RO/JO/338,JO,338,C/EGD/1906,Bead,jhm,04/12/2001,jhm,04/12/2001,,
RO/JO/339,JO,339,C/EGD/2269,Cloth,jhm,17/01/2002,jhm,17/01/2002,,
RO/JO/340,JO,340,C/EGD/2260,Urine,jhm,23/01/2002,jhm,23/01/2002,,
RO/JO/342,JO,342,C/EGD/2011,Fire,jhm,05/02/2002,jhm,05/02/2002,,
RO/JO/343,JO,343,C/EGD/2011,Salt,jhm,05/02/2002,jhm,05/02/2002,,
RO/JO/348,JO,348,C/EGD/2387,Fire,jhm,07/02/2002,jhm,07/02/2002,,
RO/JO/349,JO,349,C/EGD/1856,Water,jhm,07/02/2002,jhm,07/02/2002,,
RO/JO/350,JO,350,C/EGD/1855,Water,jhm,07/02/2002,jhm,07/02/2002,,
RO/JO/351,JO,351,C/EGD/1848,Salt,jhm,14/02/2002,jhm,14/02/2002,,
RO/JO/353,JO,353,C/EGD/1855,Foxtree Leaves,jhm,14/02/2002,jhm,14/02/2002,,
RO/JO/4,JO,4,C/JO/2632,Shirt,jhm,17/05/2001,jhm,13/11/2002,,
RO/JO/417,JO,417,C/EGD/1025,Salve,jhm,18/02/2002,jhm,18/02/2002,,
RO/JO/418,JO,418,C/EGD/1025,Drink,jhm,18/02/2002,jhm,18/02/2002,,
RO/JO/419,JO,419,C/EGD/1025,Herb,jhm,18/02/2002,jhm,18/02/2002,,
RO/JO/426,JO,426,C/EGD/745,Milk,jhm,07/03/2002,jhm,07/03/2002,,
RO/JO/427,JO,427,C/EGD/745,Money,jhm,07/03/2002,jhm,07/03/2002,,
RO/JO/428,JO,428,C/EGD/745,Nail trimmings,jhm,07/03/2002,jhm,07/03/2002,,
RO/JO/429,JO,429,C/EGD/745,Tree,jhm,07/03/2002,jhm,07/03/2002,,
RO/JO/431,JO,431,C/EGD/745,Cloth,jhm,07/03/2002,jhm,07/03/2002,,
RO/JO/432,JO,432,C/EGD/2153,Cloth,jhm,07/03/2002,jhm,07/03/2002,,
RO/JO/433,JO,433,C/EGD/2153,Hair,jhm,07/03/2002,jhm,13/11/2002,,
RO/JO/434,JO,434,C/EGD/2153,Nail trimmings,jhm,07/03/2002,jhm,07/03/2002,,
RO/JO/435,JO,435,C/EGD/2153,Herb,jhm,07/03/2002,jhm,07/03/2002,,
RO/JO/436,JO,436,C/EGD/2153,Paper,jhm,07/03/2002,jhm,07/03/2002,,
