MeetingPlaceRef,MeetingPlaceSystemId,MeetingPlaceID,CaseRef,MeetingPlace_Place,Inversion,Location,Createdby,Createdate,Lastupdatedby,Lastupdatedon
MP/JO/137,JO,137,C/EGD/1954,Yard,FALSE,own house,jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/138,JO,138,C/EGD/402,,FALSE,going to Edinburgh,jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/139,JO,139,C/JO/2830,,FALSE,'moremaddenhole' Leith,jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/140,JO,140,C/JO/2830,,FALSE,the 'Latch' Edinburgh,jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/141,JO,141,C/JO/2830,Burn,FALSE,,jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/142,JO,142,C/LA/2786,,FALSE,Windygoul,jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/143,JO,143,C/LA/2786,Hilltop,FALSE,Parson's Knoll,jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/146,JO,146,C/EGD/402,House,FALSE,her own house,jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/147,JO,147,C/EGD/402,,FALSE,Jock's Lodge,jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/148,JO,148,C/LA/2785,House yard,FALSE,own house,jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/149,JO,149,C/LA/2785,House,FALSE,in bedroom,jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/150,JO,150,C/EGD/395,House,FALSE,own house,jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/151,JO,151,C/EGD/397,Loch,FALSE,"lochside, beside meadow",jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/152,JO,152,C/EGD/401,Hilltop,FALSE,Gallolaw,jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/153,JO,153,C/EGD/401,,FALSE,Jock's Lodge,jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/154,JO,154,C/EGD/1954,Road,FALSE,Restalrig Loan,jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/157,JO,157,C/EGD/398,House,FALSE,own house window,jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/158,JO,158,C/EGD/401,Burn,FALSE,North Meadow burn,jhm,10-Jul-01,jhm,10-Jul-01
MP/JO/159,JO,159,C/EGD/396,Yard,FALSE,Andrew Simmon's whinns,jhm,11-Jul-01,jhm,11-Jul-01
MP/JO/160,JO,160,C/EGD/400,Mill,FALSE,'Breastmilne',jhm,11-Jul-01,jhm,11-Jul-01
MP/JO/165,JO,165,C/EGD/400,,FALSE,Brownesmith?,jhm,16-Jul-01,jhm,16-Jul-01
MP/JO/170,JO,170,C/JO/2846,Coalpit,FALSE,Southhundall?,jhm,24-Jul-01,jhm,24-Jul-01
MP/JO/173,JO,173,C/EGD/1298,Burn,FALSE,Swynisburne,jhm,26-Jul-01,jhm,26-Jul-01
MP/JO/174,JO,174,C/EGD/1817,House,FALSE,mother's house,jhm,31-Jul-01,jhm,22-Oct-02
MP/JO/175,JO,175,C/EGD/2005,Hilltop,FALSE,Gallowberry Hill,jhm,31-Jul-01,jhm,31-Jul-01
MP/JO/176,JO,176,C/EGD/1859,Hilltop,FALSE,Gallowberry Hill,jhm,31-Jul-01,jhm,31-Jul-01
MP/JO/177,JO,177,C/EGD/1860,,FALSE,Kirkurd,jhm,31-Jul-01,jhm,31-Jul-01
MP/JO/178,JO,178,C/JO/2882,House,FALSE,own house,jhm,07-Sep-01,jhm,07-Sep-01
MP/JO/179,JO,179,C/JO/2882,Bridge,FALSE,Lintoun Bridge,jhm,07-Sep-01,jhm,07-Sep-01
MP/JO/294,JO,294,C/EGD/1367,Haugh,FALSE,Samuelston,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/295,JO,295,C/EGD/1367,House,FALSE,Own house,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/296,JO,296,C/EGD/1368,Burn,FALSE,black burn beside Calfward,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/297,JO,297,C/EGD/1368,Moor,FALSE,Begbiemure,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/298,JO,298,C/EGD/1368,Moor,FALSE,Overboltonmure,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/299,JO,299,C/EGD/1368,Burn,FALSE,Kirkland burn,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/300,JO,300,C/EGD/1375,House,FALSE,own house,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/301,JO,301,C/EGD/1375,Moor,FALSE,Boltonmure,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/302,JO,302,C/EGD/1375,Haugh,FALSE,Samuelston,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/303,JO,303,C/EGD/1375,Moor,FALSE,Pilmure,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/304,JO,304,C/EGD/1375,Burn,FALSE,Black burn of Bolton,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/305,JO,305,C/EGD/1375,Moor,FALSE,Begbiemure,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/306,JO,306,C/EGD/1372,House,FALSE,outside own house,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/307,JO,307,C/EGD/1372,Moor,FALSE,Baigbiemure,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/308,JO,308,C/EGD/1372,Burn,FALSE,Black burn of Bolton,jhm,19-Oct-01,jhm,22-Oct-01
MP/JO/309,JO,309,C/EGD/1373,Moor,FALSE,Baigbiemure,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/310,JO,310,C/EGD/1373,Burn,FALSE,Black burn,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/311,JO,311,C/JO/2905,House,FALSE,Elizabeth Lawson's house,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/312,JO,312,C/JO/2905,Yard,FALSE,great yard of Blause,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/313,JO,313,C/JO/2905,Burn,FALSE,Black burn,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/314,JO,314,C/JO/2905,Well,FALSE,Cadger well,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/315,JO,315,C/EGD/1374,Burn,FALSE,Black burn of Bolton,jhm,19-Oct-01,jhm,22-Oct-01
MP/JO/336,JO,336,C/EGD/1367,Burn,FALSE,Blackburn of Bolton,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/337,JO,337,C/EGD/1367,Moor,FALSE,baigbiemure,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/338,JO,338,C/EGD/1374,Moor,FALSE,Baigbiemure,jhm,19-Oct-01,jhm,19-Oct-01
MP/JO/36,JO,36,C/EGD/2121,Mercat Cross,FALSE,Aberdeen,jhm,05-Jun-01,jhm,05-Jun-01
MP/JO/37,JO,37,C/EGD/1324,House yard,FALSE,Painston,jhm,13-Jun-01,jhm,13-Jun-01
MP/JO/38,JO,38,C/EGD/1324,Loch,FALSE,Painston,jhm,13-Jun-01,jhm,13-Jun-01
MP/JO/39,JO,39,C/EGD/1324,Dam,FALSE,Butter Dam,jhm,13-Jun-01,jhm,13-Jun-01
