AccusedRef,CaseRef,WhiteMagicRef,WhiteMagic_Type
A/EGD/1034,C/EGD/1045,WM/JO/57,Divination
A/EGD/1034,C/EGD/1045,WM/JO/57,Divination
A/EGD/1034,C/EGD/1045,WM/JO/57,Divination
A/EGD/1034,C/EGD/1045,WM/JO/57,Divination
A/EGD/1034,C/EGD/1045,WM/JO/57,Divination
A/EGD/1034,C/EGD/1045,WM/JO/57,Divination
A/EGD/1034,C/EGD/1045,WM/JO/57,Divination
A/EGD/1034,C/EGD/1045,WM/JO/57,Divination
A/EGD/1034,C/EGD/1045,WM/JO/57,Divination
A/EGD/1034,C/EGD/1045,WM/JO/57,Divination
A/EGD/1034,C/EGD/1045,WM/JO/57,Divination
A/EGD/1034,C/EGD/1045,WM/JO/57,Divination
A/EGD/1034,C/EGD/1045,WM/JO/57,Divination
A/EGD/1034,C/EGD/1045,WM/JO/57,Divination
A/EGD/1082,C/EGD/1094,WM/LA/33,Love magic
A/EGD/1082,C/EGD/1094,WM/LA/33,Love magic
A/EGD/1082,C/EGD/1094,WM/LA/33,Love magic
A/EGD/1082,C/EGD/1094,WM/LA/33,Love magic
A/EGD/1082,C/EGD/1094,WM/LA/33,Love magic
A/EGD/1082,C/EGD/1094,WM/LA/33,Love magic
A/EGD/1082,C/EGD/1094,WM/LA/33,Love magic
A/EGD/1082,C/EGD/1094,WM/LA/33,Love magic
A/EGD/1082,C/EGD/1094,WM/LA/33,Love magic
A/EGD/1082,C/EGD/1094,WM/LA/33,Love magic
A/EGD/1082,C/EGD/1094,WM/LA/33,Love magic
A/EGD/1082,C/EGD/1094,WM/LA/33,Love magic
A/EGD/1082,C/EGD/1094,WM/LA/33,Love magic
A/EGD/1082,C/EGD/1094,WM/LA/33,Love magic
A/EGD/1246,C/EGD/1258,WM/LA/16,Protective
A/EGD/1246,C/EGD/1258,WM/LA/16,Protective
A/EGD/1246,C/EGD/1258,WM/LA/16,Protective
A/EGD/1246,C/EGD/1258,WM/LA/16,Protective
A/EGD/1246,C/EGD/1258,WM/LA/16,Protective
A/EGD/1246,C/EGD/1258,WM/LA/16,Protective
A/EGD/1256,C/EGD/1268,WM/LA/18,Protective
A/EGD/1256,C/EGD/1268,WM/LA/18,Protective
A/EGD/1256,C/EGD/1268,WM/LA/18,Protective
A/EGD/1256,C/EGD/1268,WM/LA/18,Protective
A/EGD/1256,C/EGD/1268,WM/LA/18,Protective
A/EGD/1256,C/EGD/1268,WM/LA/18,Protective
A/EGD/1256,C/EGD/1268,WM/LA/18,Protective
A/EGD/1256,C/EGD/1268,WM/LA/18,Protective
